scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0020,CWS_DEL,demand_unit,24_NU1,24_NU1,1,,39
s0020,CWS_DEL,demand_unit,24_NU2,24_NU2,1,,40
s0020,CWS_DEL,demand_unit,24_NU3,24_NU3,1,,41
s0020,CWS_DEL,demand_unit,24_NU4,24_NU4,4,,42
s0020,CWS_DEL,demand_unit,25_NU,25_NU,1,,43
s0020,CWS_DEL,demand_unit,25_PU,25_PU,1,,44
s0020,CWS_DEL,demand_unit,26N_NU1,26N_NU1,1,,45
s0020,CWS_DEL,demand_unit,26N_NU2,26N_NU2,1,,46
s0020,CWS_DEL,demand_unit,26N_NU3,26N_NU3,1,,47
s0020,CWS_DEL,demand_unit,26N_NU4,26N_NU4,1,,48
s0020,CWS_DEL,demand_unit,26N_NU5,26N_NU5,1,,49
s0020,CWS_DEL,demand_unit,26N_PU1,26N_PU1,1,,50
s0020,CWS_DEL,demand_unit,26N_PU2,26N_PU2,1,,51
s0020,CWS_DEL,demand_unit,26N_PU3,26N_PU3,1,,52
s0020,CWS_DEL,demand_unit,26S_NU1,26S_NU1,1,,53
s0020,CWS_DEL,demand_unit,26S_NU2,26S_NU2,1,,54
s0020,CWS_DEL,demand_unit,26S_NU3,26S_NU3,1,,55
s0020,CWS_DEL,demand_unit,26S_NU4,26S_NU4,1,,56
s0020,CWS_DEL,demand_unit,26S_PU1,26S_PU1,1,,57
s0020,CWS_DEL,demand_unit,26S_PU2,26S_PU2,1,,58
s0020,CWS_DEL,demand_unit,26S_PU3,26S_PU3,1,,59
s0020,CWS_DEL,demand_unit,26S_PU4,26S_PU4,2,,60
s0020,CWS_DEL,demand_unit,26S_PU5,26S_PU5,1,,61
s0020,CWS_DEL,demand_unit,26S_PU6,26S_PU6,1,,62
s0020,CWS_DEL,demand_unit,50_PU,50_PU,1,,63
s0020,CWS_DEL,demand_unit,60N_NU1,60N_NU1,1,,64
s0020,CWS_DEL,demand_unit,60N_NU2,60N_NU2,1,,65
s0020,CWS_DEL,demand_unit,60N_PU,60N_PU,1,,66
s0020,CWS_DEL,demand_unit,60S_NU1,60S_NU1,1,,67
s0020,CWS_DEL,demand_unit,61_NU1,61_NU1,1,,68
s0020,CWS_DEL,demand_unit,61_NU2,61_NU2,1,,69
s0020,CWS_DEL,demand_unit,61_NU3,61_NU3,1,,70
s0020,CWS_DEL,demand_unit,62_NU,62_NU,1,,71
s0020,CWS_DEL,demand_unit,63_NU,63_NU,1,,72
s0020,CWS_DEL,demand_unit,64_NU,64_NU,1,,73
s0020,CWS_DEL,demand_unit,71_NU,71_NU,1,,74
s0020,CWS_DEL,demand_unit,71_PU1,71_PU1,4,,75
s0020,CWS_DEL,demand_unit,71_PU2,71_PU2,1,,76
