scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0103,3.037250906,2.17689917,2.283534108,1.92920632,2.993867927,4.999,2.530559807,2.65153522,2.419764823,1.654714376,1.849328315,1.429398385,2.127136029,2.061002471,2.439670893,2.49206425,3.424030464,1.500022385,1.40704611,1.500052717,1.500064129,3.05157467,1.63018557,3.00307406,3.123502857,3.600556764,4.999,2.169166758,3.214532742,3.103726266,3.020465527,3.408239781,3.170022061,3.031603653,3.983561334,4.999,4.999,3.045949414,4.999,4.999,4.999,3.049751164
s0104,3.046579052,2.302878358,2.358094009,2.209856009,3.069778162,4.999,2.840729637,3.011550393,2.673060901,1.768705521,1.955239719,1.471708743,2.367215877,2.231799763,2.728403906,2.798600234,3.45991032,3.019280862,1.462997574,3.016817718,3.011482461,3.073897939,1.718958649,3.007752802,3.119168642,3.645377853,4.999,2.176369809,3.178193401,3.128796143,3.067204135,3.561602226,3.227446156,1.814247497,3.661267202,4.999,4.999,3.086522752,4.999,4.999,4.999,3.123933597
s0105,3.037013244,2.190431059,2.287816776,1.94443602,3.007186224,4.999,2.631543431,2.845582221,2.571753421,1.55233868,1.823758727,1.380123633,2.082654226,2.054061304,2.345476099,2.251314743,3.622337674,1.500108351,1.361393769,1.500166361,1.500228295,3.029290946,1.776935007,3.004543801,3.135092751,3.857586437,4.999,2.109607822,3.233819234,2.679557466,3.02562267,3.240645716,3.162251514,3.031285847,3.957476356,4.999,4.999,3.045066006,4.999,4.999,4.999,2.735973226
s0107,3.026031054,1.725559482,2.237944142,2.171964722,2.749197251,2.95537392,2.832063573,2.34692804,2.435485622,1.516794701,2.028402412,1.502684332,2.228939929,2.263207404,2.25671375,2.057157054,3.665627843,1.500137359,1.528129924,1.500240169,1.500488635,3.053282373,1.435224134,1.500029444,3.185092722,4.999,4.999,1.889820932,3.465120055,3.251486588,3.037905898,3.721993584,3.388227211,3.123095,4.999,4.999,4.999,3.065728757,4.999,4.999,4.999,3.280529458
s0108,3.022840729,1.689892431,2.345968256,2.307597982,3.045136455,4.999,2.932046798,2.696638477,2.505439781,1.502609961,1.948581763,1.47667424,2.368366942,2.211382479,2.607896034,2.629736714,3.634840204,1.500070206,1.496344533,1.50020817,1.500406832,3.050304419,1.289345755,1.500046143,3.185632087,3.949489837,4.999,2.326630645,3.503730308,3.484123763,3.028870368,4.999,3.475847601,3.127530699,4.999,4.999,4.999,3.055821952,4.999,4.999,4.999,3.540458606
s0109,3.025466358,1.712993501,2.363697003,2.447114982,3.060042501,4.999,2.977343914,2.815700248,2.55368036,1.593422638,2.168562597,1.591144155,2.663619659,2.468094844,2.903425614,2.829220431,4.999,1.500052245,1.650629376,1.500201026,1.500443821,3.05531294,1.345485577,1.500020875,3.23103249,4.999,4.999,2.83950797,3.639934445,3.584173268,3.031454369,4.999,3.47251533,3.128649938,4.999,4.999,4.999,3.059977759,4.999,4.999,4.999,3.595044618
s0110,1.502690291,3.237984129,2.769599176,1.417795737,2.822488137,3.913761273,2.945381424,1.645543548,4.999,3.503377356,4.999,4.999,4.999,4.999,4.999,4.999,1.574216801,1.500685405,3.493696687,4.999,3.232907665,4.999,2.859148626,3.003469063,1.500365879,1.500404928,1.500010851,3.002487085,1.500021399,2.901399721,3.058024257,3.006336367,3.071455651,4.999,4.999,4.999,4.999,1.536555953,2.99946188,3.00429427,3.014773479,3.006908328
s0111,1.5027748,3.171069795,2.742269325,1.349147603,2.70596548,3.735004567,2.933813077,1.642103779,4.999,3.427040099,4.999,4.999,4.999,4.999,4.999,4.999,1.574244931,1.500710216,3.470538433,4.999,3.232783171,4.999,2.848881956,3.001866814,1.500426827,1.500493634,1.500014803,3.0017659,1.500026389,2.900677099,3.056908246,3.006003798,3.07132717,4.999,4.999,4.999,4.999,1.53621063,2.999426685,3.004054202,3.014774462,3.005133888
s0112,3.02140972,1.680355845,2.322072469,2.208086007,3.027245199,4.999,2.838754588,2.570560479,2.481504087,1.5204862,1.887920336,1.483095312,2.482422458,2.260489923,2.813864895,2.861944016,3.79925195,1.500003755,1.494754481,1.500074424,1.500191189,3.058470142,1.266408043,1.500054169,3.172483552,4.999,4.999,2.269874033,3.480885846,3.538353289,3.048262079,4.999,3.78732355,3.178989685,4.999,4.999,4.999,3.031387622,3.688806963,3.887342799,4.999,3.777225201
s0113,3.026483255,1.732987622,2.240119213,2.124138166,2.780594415,2.975550502,2.874627872,2.352528066,2.448784552,1.49943711,1.91975306,1.489995942,2.323639265,2.230542923,2.517166524,2.524873778,3.604518229,1.500061914,1.527926053,1.500215274,1.500487658,3.053433285,1.44174007,1.500018068,3.19379647,3.90728486,4.999,1.959705117,3.547508464,3.43203522,3.033726787,3.94438608,3.405977604,3.128818936,4.999,4.999,4.999,3.063932742,4.999,4.999,4.999,3.39683652
