id,network_arc_id,short_code,name,description,to_node,entity_type_id,schematic_type_id,hydrologic_region_id,has_gis_data,entity_version_id,source_ids,created_by,updated_by
143,I_NHGAN,New Hogan Reservoir inflow,,NHGAN,3,1,2,1,"{1,3,4}",1,
144,I_NLC003,North Long Canyon Creek above Middle Fork Tunnel Diversion,,NLC003,3,1,1,1,"{1,3,4}",1,
145,I_NMA003,North Fork of Middle Fork American River near Foresthill,,NMA003,3,1,1,1,"{1,3,4}",1,
146,I_NNA013,North Fork of North Fork American River,,NNA013,3,1,1,1,"{1,3,4}",1,
147,I_OGN005,Oregon Creek above Log Cabin Diversion Dam,,OGN005,3,1,1,1,"{1,3,4}",1,
148,I_ORG000,Ortigalita Creek,,ORG000,3,1,2,1,"{1,3,4}",1,
149,I_OROVL,Lake Oroville local inflow,,OROVL,3,1,1,1,"{1,3,4}",1,
150,I_ORT014,Orestimba Creek,,ORT014,3,1,2,1,"{1,3,4}",1,
151,I_OWN040,Owen Creek below Owens Reservoir,,OWN040,3,1,2,1,"{1,3,4}",1,
152,I_PARDE,Pardee Reservoir local inflow,,PARDE,3,1,2,1,"{1,3,4}",1,
153,I_PCRST,Pine Crest Reservoir inflow,,PCRST,3,1,2,1,"{1,3,4}",1,
154,I_PEDRO,New Don Pedro local inflow,,PEDRO,3,1,2,1,"{1,3,4}",1,
155,I_PLC007,Pilot Creek accretion: Stumpy Meadows Dam to Diversion Dam,,PLC007,3,1,1,1,"{1,3,4}",1,
156,I_PLM001,Plum Creek near Riverton,,PLM001,3,1,1,1,"{1,3,4}",1,
157,I_PTH070,Pth070,,PTH070,3,1,1,1,"{1,3,4}",1,
158,I_PYN001,Paynes Creek near Red Bluff and Sevenmile Creek,,PYN001,3,1,1,1,"{1,3,4}",1,
159,I_PYR001,Pyramid Creek accretion: Aloha Dam to Twin Bridges,,PYR001,3,1,1,1,"{1,3,4}",1,
160,I_QNT005,Quinto Creek Group,,QNT005,3,1,2,1,"{1,3,4}",1,
161,I_RCK001,Rock Creek near Placerville,,RCK001,3,1,1,1,"{1,3,4}",1,
162,I_RLIEF,Relief Reservoir inflow,,RLIEF,3,1,2,1,"{1,3,4}",1,
163,I_RLLNS,Rollins Reservoir inflow,,RLLNS,3,1,1,1,"{1,3,4}",1,
164,I_RUB002,Lower Rubicon River accretion,,RUB002,3,1,1,1,"{1,3,4}",1,
165,I_RUB047,Rubicon Reservoir inflow,,RUB047,3,1,1,1,"{1,3,4}",1,
166,I_RVPHB,Round Valley and Philbrook reservoirs combined inflow,,RVPHB,3,1,1,1,"{1,3,4}",1,
167,I_SCOTF,Scott Flat Reservoir local inflow,,SCOTF,3,1,1,1,"{1,3,4}",1,
168,I_SCW008,South Fork Cottonwood Creek near Olinda,,SCW008,3,1,1,1,"{1,3,4}",1,
169,I_SFA030,South Fork American River near Placerville accretion,,SFA030,3,1,1,1,"{1,3,4}",1,
170,I_SFA040,South Fork American River at Slab Creek accretion,,SFA040,3,1,1,1,"{1,3,4}",1,
171,I_SFA066,South Fork American River near Kyburz accretion,,SFA066,3,1,1,1,"{1,3,4}",1,
172,I_SFA076,South Fork American River at proposed Forni Diversion Dam site,,SFA076,3,1,1,1,"{1,3,4}",1,
173,I_SFD003,South Fork Deer Creek below Deer Creek Powerhouse,,SFD003,3,1,1,1,"{1,3,4}",1,
174,I_SFF008,Local Inflow to South Fork Feather River at Enterprise,,SFF008,3,1,1,1,"{1,3,4}",1,
175,I_SFF011,Local inflow to South Fork Feather River at Ponderosa Dam,,SFF011,3,1,1,1,"{1,3,4}",1,
176,I_SFM005,South Fork Mokelumne River near West Point,,SFM005,3,1,2,1,"{1,3,4}",1,
177,I_SFR006,South Fork Rubicon River above Diversion Dam,,SFR006,3,1,1,1,"{1,3,4}",1,
178,I_SFS030,SF Stanislaus near Strawberry at Diversion Dam,,SFS030,3,1,2,1,"{1,3,4}",1,
179,I_SFS033,SF Stanislaus at Strawberry local inflow,,SFS033,3,1,2,1,"{1,3,4}",1,
180,I_SFT003,Sft003,,SFT003,3,1,1,1,"{1,3,4}",1,
181,I_SFY007,South Yuba River accretion: Spaulding Dam to Jones Bar,,SFY007,3,1,1,1,"{1,3,4}",1,
182,I_SFY048,South Yuba River near Cisco,,SFY048,3,1,1,1,"{1,3,4}",1,
183,I_SGRGE,Stony Gorge Reservoir local inflow,,SGRGE,3,1,1,1,"{1,3,4}",1,
184,I_SHSTA,Shasta Lake inflow,,SHSTA,3,1,1,1,"{1,3,4}",1,
185,I_SILVR,Silver Lake inflow,,SILVR,3,1,1,1,"{1,3,4}",1,
186,I_SJR258,Little Dry Creek near Friant,,SJR258,3,1,2,1,"{1,3,4}",1,
187,I_SJR265,Cottonwood Creek,,SJR265,3,1,2,1,"{1,3,4}",1,
188,I_SLC003,South Long Canyon Creek above Diversion Dam,,SLC003,3,1,1,1,"{1,3,4}",1,
189,I_SLF009,Silver Fork American River accretion: Silver Lake Dam to proposed Diversion Dam,,SLF009,3,1,1,1,"{1,3,4}",1,
190,I_SLO007,Salado Creek Group,,SLO007,3,1,2,1,"{1,3,4}",1,
191,I_SLT009,Slate Creek above Slate Creek Diversion Dam,,SLT009,3,1,1,1,"{1,3,4}",1,
192,I_SLTSP,Salt Springs Reservoir inflow,,SLTSP,3,1,2,1,"{1,3,4}",1,
193,I_SLUIS,San Luis Reservoir inflow,,SLUIS,3,1,2,1,"{1,3,4}",1,
194,I_SLV006,Silver Creek accretion: Junction Dam to Camino Dam,,SLV006,3,1,1,1,"{1,3,4}",1,
195,I_SLV015,Silver Creek accretion: Union Valley Dam to Junction Dam,,SLV015,3,1,1,1,"{1,3,4}",1,
196,I_SLYCK,Sly Creek Reservoir inflow,,SLYCK,3,1,1,1,"{1,3,4}",1,
197,I_SPICE,Highland Creek inflow to Spicer Meadows Reservoir,,SPICE,3,1,2,1,"{1,3,4}",1,
198,I_SPLDG,Spaulding Reservoir local inflow,,SPLDG,3,1,1,1,"{1,3,4}",1,
199,I_STMPY,Stumpy Meadows Reservoir inflow,,STMPY,3,1,1,1,"{1,3,4}",1,
200,I_STS059,Stanislaus River below Tulloch Reservoir local inflow,,STS059,3,1,2,1,"{1,3,4}",1,
201,I_STS072,New Melones local inflow,,STS072,3,1,2,1,"{1,3,4}",1,
202,I_TGC003,Tiger Creek above Regulation Reservoir,,TGC003,3,1,2,1,"{1,3,4}",1,
203,I_THM028,Thomes Creek at Paskenta,,THM028,3,1,1,1,"{1,3,4}",1,
204,I_TRNTY,Trinity Lake inflow,,TRNTY,3,1,1,1,"{1,3,4}",1,
205,I_TULOC,Tulloch Reservoir local inflow,,TULOC,3,1,2,1,"{1,3,4}",1,
