short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_DSC008,DSC,C_DSC008,8.0,Dry Creek/Sutter Creek,,CH,ST,,,2,12874.9085630362,1,4,,,,1,12,True,connected,True
C_SFF008,SFF,C_SFF008,8.0,South Fork Feather River,,CH,ST,,,1,8469.61585353448,1,4,,,,1,12,True,connected,True
C_SFF002,SFF,C_SFF002,8.0,South Fork Feather River,,CH,ST,,,1,3949.50054303062,1,4,,,,1,12,True,connected,True
C_SFF039,SFF,C_SFF039,8.0,South Fork Feather River,,CH,ST,,,1,15317.3989388005,1,4,,,,1,12,True,connected,True
C_SFF028,SFF,C_SFF028,8.0,South Fork Feather River,,CH,ST,,,1,14715.0523093507,1,4,,,,1,12,True,connected,True
C_CSM011,CSM,C_CSM011,8.0,Cosumnes River,,CH,ST,,,2,9571.5030417259,1,4,,,,1,12,True,connected,True
C_SAC277,SAC,C_SAC277,8.0,Sacramento River,,CH,ST,,,1,4040.04748925568,1,4,,,,1,12,True,connected,True
C_SAC250,SAC,C_SAC250,8.0,Sacramento River,,CH,ST,,,1,4215.11404055275,1,4,,,,1,12,True,connected,True
C_SAC232,SAC,C_SAC232,8.0,Sacramento River,,CH,ST,,,1,5398.74856580162,1,4,,,,1,12,True,connected,True
C_SAC228,SAC,C_SAC228,8.0,Sacramento River,,CH,ST,,,1,6463.47188917418,1,4,,,,1,12,True,connected,True
C_SAC217,SAC,C_SAC217,8.0,Sacramento River,,CH,ST,,,1,5266.21584749546,1,4,,,,1,12,True,connected,True
C_SAC195,SAC,C_SAC195,8.0,Sacramento River,,CH,ST,,,1,4837.96816056265,1,4,,,,1,12,True,connected,True
C_WKYTN,CLR,C_WKYTN,8.0,Clear Creek,,CH,ST,,,1,11896.65170999,1,4,,,,1,12,True,connected,True
C_CLR011,CLR,C_CLR011,8.0,Clear Creek,,CH,ST,,,1,2587.44426525652,1,4,,,,1,12,True,connected,True
C_CLR009,CLR,C_CLR009,8.0,Clear Creek,,CH,ST,,,1,14487.3159415483,1,4,,,,1,12,True,connected,True
C_CBD012,CBD,C_CBD012,4.0,Colusa Basin Drainage Canal,,CH,CL,,,1,11210.1018032915,1,4,,,,1,12,True,connected,True
C_GCC060,GCC,C_GCC060,4.0,Glenn Colusa Canal,,CH,CL,,,1,8046.71995716842,1,4,,,,1,12,True,connected,True
