short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
D_WTPDWS_60S_NU1,3,4.0,5.0,True,True,arc,,D,,13743.7416000012,2.0,12,True,2
SR_60N_MOK035,3,4.0,5.0,True,True,arc,,SR,,2499.99980948203,1.0,12,True,2
CMP001,3,4.0,5.0,True,True,node,CMP001,CH,SG,,2.0,12,True,2
C_OGN004,3,4.0,5.0,True,True,arc,Oregon Creek,CH,ST,6674.97273234792,1.0,12,True,2
MNRRH,3,4.0,5.0,True,True,node,MNRRH,STR,,,1.0,12,True,2
CSM021,3,4.0,5.0,True,True,node,CSM021,CH,STM,,2.0,12,True,2
D_XCC054_72_PR5,3,4.0,5.0,True,True,arc,,D,,10221.4761050428,2.0,12,True,2
C_SAC224,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,9282.61845995577,1.0,12,True,2
D_DMC034_71_PA3,3,4.0,5.0,True,True,arc,,D,,998.159099999815,2.0,12,True,2
WBF039,3,4.0,5.0,True,True,node,WBF039,CH,STM,,1.0,12,True,2
SAC091,3,4.0,5.0,True,True,node,SAC091,CH,STM,,1.0,12,True,2
TUO022,3,4.0,5.0,True,True,node,TUO022,CH,STM,,2.0,12,True,2
D_STS059_OAK001,3,4.0,5.0,True,True,arc,Oakdale South Main Canal,D,,599.048873106404,2.0,12,True,2
C_MPS038,3,4.0,5.0,True,True,arc,Mariposa Creek,CH,ST,61155.8160323555,2.0,12,True,2
D_SAC185_09_NA,3,4.0,5.0,True,True,arc,,D,,8311.76634173165,1.0,12,True,2
ABT002,3,4.0,5.0,True,True,node,ABT002,CH,CNL,,1.0,12,True,2
C_BRR023,3,4.0,5.0,True,True,arc,Bear River,CH,ST,8395.13222346385,1.0,12,True,2
C_SBP014,3,4.0,5.0,True,True,arc,Sutter Bypass,CH,BP,2454.42377055223,1.0,12,True,2
SAC065,3,4.0,5.0,True,True,node,SAC065,CH,STM,,1.0,12,True,2
I_JKSMD,3,4.0,5.0,True,True,arc,,IN,IM,7500.0001062355,1.0,12,True,2
C_ELD005,3,4.0,5.0,True,True,arc,Elder Creek,CH,ST,8046.7200743222,1.0,12,True,2
R_91_PR_FSL005,3,4.0,5.0,True,True,arc,,RT,,2840.81589999981,2.0,12,True,2
RFS8S,3,4.0,5.0,True,True,node,RFS8S,RFS,,,1.0,12,True,2
C_DMC034,3,4.0,5.0,True,True,arc,Delta-Mendota Canal,CH,CL,7013.9052981108,2.0,12,True,2
R_13_NU1_ORWWTP,3,4.0,5.0,True,True,arc,,RT,,4500.0,1.0,12,True,2
LDC021,3,4.0,5.0,True,True,node,LDC021,CH,STM,,1.0,12,True,2
I_HHOLE,3,4.0,5.0,True,True,arc,,IN,LI,7499.99996553269,1.0,12,True,2
C_SLF015,3,4.0,5.0,True,True,arc,Silver Fork American River,CH,ST,7313.81325538222,1.0,12,True,2
R_RFS63_AWWWTP,3,4.0,5.0,True,True,arc,,RT,,12667.4166999999,2.0,12,True,2
