id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
406,C_SLUIS_SWP,San Luis SWP Total Release,Total release from San Luis SWP,71,release_total,false,,,2,3,1,e3c68179-9bcc-489d-becf-67704fd857b8,"{1,3,4}",1,
407,C_SLUIS_SWP_NCF,San Luis SWP Normal Release,Normal controlled release from San Luis SWP (≤ release capacity),71,release_normal,false,,,2,3,1,65a604e7-f948-4ba5-98a8-6f51f76aeb71,"{1,3,4}",1,
408,C_SLUIS_SWP_FLOOD,San Luis SWP Flood Spill,Flood spill from San Luis SWP (above release capacity),71,release_flood,false,,,2,3,1,5d075153-c018-42e5-b624-7edde2f3404e,"{1,3,4}",1,
409,C_SLYCK,Sly Creek Total Release,Total release from Sly Creek,72,release_total,false,,,2,3,1,19689878-b04b-47ad-9961-32a0b75b3199,"{1,3,4}",1,
410,C_SLYCK_NCF,Sly Creek Normal Release,Normal controlled release from Sly Creek (≤ release capacity),72,release_normal,false,,,2,3,1,7084c175-7544-48eb-8378-c89a9531318b,"{1,3,4}",1,
411,C_SLYCK_FLOOD,Sly Creek Flood Spill,Flood spill from Sly Creek (above release capacity),72,release_flood,false,,,2,3,1,7824e6aa-89d0-441e-adc3-b3566447c031,"{1,3,4}",1,
412,C_SPICE,New Spicer Meadows Total Release,Total release from New Spicer Meadows,73,release_total,false,,,2,3,1,a4cc4a1b-2af3-4e8a-af04-4da8d3a9bd22,"{1,3,4}",1,
413,C_SPICE_NCF,New Spicer Meadows Normal Release,Normal controlled release from New Spicer Meadows (≤ release capacity),73,release_normal,false,,,2,3,1,924d54ce-7c15-4faa-bc63-4aecee114367,"{1,3,4}",1,
414,C_SPICE_FLOOD,New Spicer Meadows Flood Spill,Flood spill from New Spicer Meadows (above release capacity),73,release_flood,false,,,2,3,1,3fd5950d-d810-4df6-9f57-c1ebead8b877,"{1,3,4}",1,
415,C_SPLDG,Spaulding Total Release,Total release from Spaulding,74,release_total,false,,,2,3,1,9e7e42d1-e403-41b1-bf93-8549babc9caa,"{1,3,4}",1,
